CPF,MATRICULA,NOME DO SERVIDOR,CARGO,LOTACAO,DT_ADMISSAO,VALOR_BRUTO,SITUACAO,EMAIL
727.246.264-78,40000,Ana Paula Souza,Coordenador de Contratos,Nucleo Financeiro,24/03/2024,"4094,81",ENCERRADO,usuario0@orgao.gov.br
502.486.023-30,40001,Bruno Carvalho Lima,Assessor de Planejamento,Coordenacao de Compras,26/08/2020,"7053,07",SUSPENSO,usuario1@orgao.gov.br
620.958.610-43,40002,Carla Mendes Rocha,Auxiliar Financeiro,Coordenacao de Compras,24/06/2023,"3370,40",ATIVO,usuario2@orgao.gov.br
,40003,Diego Alves Pinto,Coordenador de Contratos,Gerencia de Contratos,15/11/2022,"9435,76",ENCERRADO,usuario3@orgao.gov.br
541.417.305-21,40004,Elaine Ferreira Dias,Assistente Administrativo,Gerencia de Contratos,24/03/2019,"4023,90",ENCERRADO,usuario4@orgao.gov.br
111..11.1.1-11-11,40005,Fabio Nogueira Cruz,Assessor de Planejamento,Gerencia de Contratos,07/07/2022,"2155,95",ATIVO,usuario5@orgao.gov.br
171.313.984-70,40006,Gabriela Santos Melo,Assistente Administrativo,Coordenacao de Compras,04/09/2022,"6019,99",SUSPENSO,usuario6@orgao.gov.br
404.553.158-09,40007,  Gabriela   Santos  Melo ,Tecnico de Suporte,Nucleo Financeiro,06/10/2021,"2033,73",ATIVO,usuario7@orgao.gov.br
671.409.161-36,40008,Isabela Ramos Freitas,Tecnico de Suporte,Diretoria Administrativa,23/01/2023,"2488,05",ATIVO,usuario8@orgao.gov.br
957.819.545-11,40009,Joao Vitor Moreira,Analista de Compras,Coordenacao de Compras,16/09/2020,"987654,32",ENCERRADO,usuario9@orgao.gov.br
330.396.840-35,40010,Karina Lopes Batista,Coordenador de Contratos,Coordenacao de Compras,03/08/2021,"7783,52",ENCERRADO,usuario10@orgao.gov.br
359.134.467-20,40011,Lucas Andrade Farias,Analista de Compras,Diretoria Administrativa,04/05/1899,"5550,04",ATIVO,usuario11@orgao.gov.br
384.398.161-20,40012,Mariana Coelho Duarte,Tecnico de Suporte,Gerencia de Contratos,29/01/2023,"6807,94",ATIVO,usuario12@orgao.gov.br
503.773.011-24,40013,Nelson Ribeiro Gomes,Assessor de Planejamento,Nucleo Financeiro,25/05/2020,"5803,84",ENCERRADO,sem-arroba.gov.br
