CPF;MATRICULA;NOME DO SERVIDOR;CARGO;LOTACAO;DT_ADMISSAO;VALOR_BRUTO;SITUACAO;EMAIL
635.928.798-63;40014;Olivia Martins Braga;Assistente Administrativo;Nucleo Financeiro;05/04/2022;4705,55;ENCERRADO;usuario14@orgao.gov.br
200.219.827-67;40015;Paulo Cesar Aguiar;Auxiliar Financeiro;Nucleo Financeiro;25/11/2019;9052,72;ATIVO;usuario15@orgao.gov.br
663.748.994-82;40016;Queila Vasconcelos Sa;Coordenador de Contratos;Nucleo Financeiro;09/04/2020;3245,03;ENCERRADO;usuario16@orgao.gov.br
791.221.800-95;40017;Rafael Monteiro Prado;Assessor de Planejamento;Nucleo Financeiro;11/11/2021;3027,25;SUSPENSO;usuario17@orgao.gov.br
537.210.364-76;40018;Simone Cardoso Neves;Auxiliar Financeiro;Diretoria Administrativa;25/07/2019;3077,27;ATIVO;usuario18@orgao.gov.br
465.536.783-08;40019;Tiago Fonseca Vieira;Tecnico de Suporte;Nucleo Financeiro;04/09/2024;8758,89;ENCERRADO;usuario19@orgao.gov.br
857.501.437-40;40020;Ursula Campos Tavares;Tecnico de Suporte;Nucleo Financeiro;01/12/2023;2904,29;ENCERRADO;usuario20@orgao.gov.br
964.680.719-41;40021;Vinicius Peixoto Reis;Tecnico de Suporte;Diretoria Administrativa;11/12/2024;8342,81;SUSPENSO;usuario21@orgao.gov.br
760.682.028-79;40022;Wanda Siqueira Amaral;Assessor de Planejamento;Gerencia de Contratos;09/11/2021;8990,51;ATIVO;usuario22@orgao.gov.br
504.044.268-83;40023;Xavier Nunes Padilha;Auxiliar Financeiro;Nucleo Financeiro;23/09/2022;7303,43;SUSPENSO;usuario23@orgao.gov.br
885.382.897-80;40024;Yara Bastos Correia;Auxiliar Financeiro;Diretoria Administrativa;01/06/2024;4134,40;ENCERRADO;usuario24@orgao.gov.br
306.108.580-76;40025;Zeca Pagodinho Silva;Auxiliar Financeiro;Coordenacao de Compras;16/03/2024;2355,84;SUSPENSO;usuario25@orgao.gov.br
620.958.610-43;40002;Carla Mendes Rocha;Auxiliar Financeiro;Coordenacao de Compras;24/06/2023;3370,40;ATIVO;usuario2@orgao.gov.br
467.143.614-08;40001;Amanda Rezende Cunha;Assessor de Planejamento;Diretoria Administrativa;28/10/2019;2117,77;ENCERRADO;usuario26@orgao.gov.br
